timestamp,steps,hr,calories,ax,ay,az
1764317445.0538106,0,134,0.0,0,18841,7372
1764317447.0325384,0,136,0.12,0,18841,7372
1764317449.0391223,0,138,0.23,0,18841,7372
1764317451.0428493,1,147,0.35,0,18841,27852
1764317453.0812376,1,136,0.47,0,18841,7372
1764317455.0688252,1,128,0.59,0,18841,7372
1764317457.0721784,1,135,0.7,0,18841,7372
1764317459.0840611,1,141,0.82,0,18841,7372
1764317461.0860112,1,134,0.94,0,18841,7372
1764317463.0920584,1,126,1.05,0,18841,7372
1764317465.1032102,1,136,1.17,0,18841,7372
1764317467.107996,1,144,1.29,0,18841,7372
1764317469.1111574,1,145,1.41,0,18841,7372
1764317471.1212642,1,147,1.52,0,18841,7372
1764317473.1265733,2,140,1.64,0,18841,-32768
1764317475.1338913,2,136,1.76,0,18841,-32768
1764317477.140243,2,131,1.87,0,18841,-29491
1764317479.1437364,2,130,1.99,0,18841,-32768
1764317481.1527238,2,142,2.11,0,18841,-32768
1764317483.1620035,3,149,2.22,0,18841,32767
1764317485.1797485,3,142,2.34,0,18841,32767
1764317487.182664,3,146,2.46,0,18841,32767
1764317489.1959405,4,139,2.58,0,18841,-32768
1764317491.198806,4,130,2.69,0,18841,-32768
1764317493.2020066,4,135,2.81,0,18841,-32768
1764317495.2072551,4,138,2.93,0,18841,-32768
1764317497.213428,4,128,3.04,0,18841,-32768
1764317499.2204132,4,135,3.16,0,18841,-32768
1764317501.2292879,5,128,3.28,0,18841,32767
1764317503.2353323,5,135,3.4,0,18841,-32768
1764317505.2475488,5,128,3.51,0,18841,32767
1764317507.2554343,5,135,3.63,0,18841,-32768
1764317509.2555044,5,145,3.75,0,18841,32767
1764317511.265237,5,136,3.86,0,18841,-32768
1764317513.2691793,5,147,3.98,0,18841,32767
1764317515.279521,5,140,4.1,0,18841,-4096
1764317517.2873166,5,128,4.22,0,18841,29491
1764317519.3055024,5,135,4.33,0,18841,-12288
1764317521.298655,5,133,4.45,0,18841,-16384
1764317526.7116382,STOP,,,,,
